Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1994,1994,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1995,1995,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1996,1996,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1997,1997,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1998,1998,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1999,1999,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2000,2000,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2001,2001,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2002,2002,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2003,2003,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2004,2004,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2005,2005,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2006,2006,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2007,2007,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2008,2008,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2009,2009,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2010,2010,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2011,2011,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2012,2012,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2013,2013,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2014,2014,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2015,2015,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2016,2016,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2018,2018,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2019,2019,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2020,2020,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1990,1990,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1991,1991,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1992,1992,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1993,1993,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1994,1994,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1995,1995,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1996,1996,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1997,1997,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1998,1998,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1999,1999,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2000,2000,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2001,2001,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2002,2002,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2003,2003,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2004,2004,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2005,2005,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2006,2006,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2007,2007,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2008,2008,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2009,2009,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2010,2010,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2011,2011,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2012,2012,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2013,2013,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2014,2014,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2015,2015,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2016,2016,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2018,2018,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2019,2019,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2020,2020,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1990,1990,3050,FAO TIER 1,kilotonnes,754.4692,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1991,1991,3050,FAO TIER 1,kilotonnes,749.5552,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1992,1992,3050,FAO TIER 1,kilotonnes,751.4025,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1993,1993,3050,FAO TIER 1,kilotonnes,750.508,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1994,1994,3050,FAO TIER 1,kilotonnes,755.0224,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1995,1995,3050,FAO TIER 1,kilotonnes,757.7585,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1996,1996,3050,FAO TIER 1,kilotonnes,760.2263,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1997,1997,3050,FAO TIER 1,kilotonnes,761.8443,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1998,1998,3050,FAO TIER 1,kilotonnes,762.2173,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1999,1999,3050,FAO TIER 1,kilotonnes,764.6432,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2000,2000,3050,FAO TIER 1,kilotonnes,765.2314,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2001,2001,3050,FAO TIER 1,kilotonnes,766.2493,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2002,2002,3050,FAO TIER 1,kilotonnes,767.9291,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2003,2003,3050,FAO TIER 1,kilotonnes,772.6457,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2004,2004,3050,FAO TIER 1,kilotonnes,777.042,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2005,2005,3050,FAO TIER 1,kilotonnes,781.1912,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2006,2006,3050,FAO TIER 1,kilotonnes,785.0749,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2007,2007,3050,FAO TIER 1,kilotonnes,792.4154,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2008,2008,3050,FAO TIER 1,kilotonnes,791.9948,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2009,2009,3050,FAO TIER 1,kilotonnes,795.2033,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,2010,2010,3050,FAO TIER 1,kilotonnes,801.528,E,Estimated value,
